correct_spelling,wrong_spelling1,wrong_spelling2,wrong_spelling3,wrong_spelling4,wrong_spelling5,english_meaning,emotion_category
khushi ka ehsaas,khushi ka ehsas,khushi ka ehsaas,khushi ka ehsaas,khushi ka ehsaas,khushi ka ehsaas,feeling of happiness,joy
khushgawar pal,khushgawaar pal,khushgawar paal,khushgawaar paal,,pleasant moment,joy
khushi ka jashn,khushi ka jashan,khushi ka jashn,khushi ka jashn,,celebration,joy
mazedaar,mazedar,maza-daar,mazdaar,,fun,joy
dil khush,dilkhush,dil-khush,dil khush,,happy heart,joy
khilkhilahat,khil-khilahat,khilk-hilahat,khilkhilahat,,laughter,joy
joshila,joshilla,josh-ila,joshila,,enthusiastic,joy
shadman,shadmaan,shad-man,shadman,,cheerful,joy
sukoon ka ehsaas,sukoon ka ehsas,sukoon ka ehsaas,sukoon ka ehsaas,,peaceful feeling,joy
chamak,chmaak,chhamak,chamak,,shine,joy
surur,soorur,suroor,surur,,pleasure,joy
musarrat,musarat,musarratt,musarrat,,delight,joy
shadmani,shadmaani,shadmani,,cheerful,joy
rahat,raahat,rahat,,comfort,joy
farhat,farhaat,farhat,,relief,joy
khushnudi,khush-noodi,khushnudi,,pleasure,joy
masti bhara,masti-bhara,masti bharaa,masti bhara,,fun-filled,joy
rangin,rangeen,rang-een,rangin,,colorful,joy
jashn,jashaan,jashn,,celebration,joy
khushi se jhoomna,khushi se jhoomnaa,khushi se jhoom-na,khushi se jhoomna,,dance with joy,joy
dil khush kar dena,dil khush kar-dena,dil khush kar dena,,make happy,joy
udaasi ka ehsaas,udasi ka ehsaas,udaasi ka ehsaas,udaasi ka ehsaas,,feeling sad,sadness
dukhi,dukhhi,dukh-i,dukhi,,sad,sadness
udaas,udas,udaas,udaas,,sad,sadness
ghamzada,ghamzaada,ghumzada,ghamzaad,,grief-stricken,sadness
bechain,be-chain,bechain,bechain,,restless,sadness
pareshan,pareshaan,pareshaan,pareshan,,troubled,sadness
ranj,raanj,ranj,,sorrow,sadness
dard,dardh,dard,,pain,sadness
takleef,takleef,takleef,,trouble,sadness
zakham,zakhum,zakhm,zakham,,wound,sadness
malal,malaal,malal,,regret,sadness
sog,soag,sog,,mourning,sadness
ghami,ghammi,ghami,,grief,sadness
ghussa,gussa,ghusaa,ghussa,,anger,anger
naraz,naraaz,naraz,naraaz,,angry,anger
lanat,laanat,lanat,,curse,anger
khafa,khafaa,khafa,,upset,anger
chid,chidchida,chid,,irritated,anger
gazab,gzaab,gaz-aab,gazab,,astonished/anger,anger
shiddat se ghussa,shiddat se gussa,shiddat se ghusaa,shiddat se ghussa,,very angry,anger
beqaboo,beqabu,be-qaboo,beqaboo,,uncontrollable,anger
aatish,aatishh,aatish,aatish,,fire,anger
aag,aagh,aag,,fire,anger
deewana,diwana,deewanaa,deewana,,crazy,anger
pagalpan,pagalpaan,pagal-pan,pagalpan,,madness,anger

